# Метеостанция Шереметьево / им. А. С. Пушкина (аэропорт), Россия, METAR=UUEE, выборка с 01.01.2024 по 31.12.2024, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUEE&lang=ru
#
"Местное время в Шереметьево / им. А. С. Пушкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.12.2024 23:30";"-2.0";"737.8";"755.4";"80";"Ветер, дующий с запада";"5";"";"";"";"Рассеянная (40-50%) 720 м";"10.0 и более";"-5.0";
"31.12.2024 23:00";"-2.0";"737.0";"754.6";"80";"Ветер, дующий с запада";"5";"";"";"";"Рассеянная (40-50%) 1080 м";"10.0 и более";"-5.0";
"31.12.2024 22:30";"-2.0";"737.0";"754.6";"80";"Ветер, дующий с запада";"5";"";"";"";"Рассеянная (40-50%) 630 м";"10.0 и более";"-5.0";
"31.12.2024 22:00";"-2.0";"737.0";"754.6";"80";"Ветер, дующий с запада";"6";"";"";"";"Рассеянная (40-50%) 780 м";"10.0 и более";"-5.0";
"31.12.2024 21:30";"-2.0";"736.3";"753.9";"80";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 1080 м";"10.0 и более";"-5.0";
"31.12.2024 21:00";"-3.0";"736.3";"753.9";"80";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"31.12.2024 20:30";"-2.0";"736.3";"753.9";"74";"Ветер, дующий с запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"31.12.2024 20:00";"-1.0";"736.4";"753.9";"80";"Ветер, дующий с запада";"7";"12";"";"";"Разорванная (60-90%) 1020 м";"10.0 и более";"-4.0";
"31.12.2024 19:30";"-1.0";"736.4";"753.9";"80";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"31.12.2024 19:00";"-1.0";"736.4";"753.9";"80";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-4.0";
"31.12.2024 18:30";"-1.0";"735.6";"753.1";"80";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-4.0";
"31.12.2024 18:00";"-1.0";"735.6";"753.1";"86";"Ветер, дующий с запада";"7";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-3.0";
"31.12.2024 17:30";"-1.0";"735.6";"753.1";"86";"Ветер, дующий с запада";"7";"";"";"";"Разорванная (60-90%) 1170 м";"10.0 и более";"-3.0";
"31.12.2024 17:00";"-2.0";"735.6";"753.1";"93";"Ветер, дующий с запада";"8";"";"";"";"Разорванная (60-90%) 1110 м";"10.0 и более";"-3.0";
"31.12.2024 16:30";"-1.0";"735.6";"753.1";"93";"Ветер, дующий с запада";"8";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-2.0";
"31.12.2024 16:10";"-1.0";"735.6";"753.1";"93";"Ветер, дующий с запада";"7";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-2.0";
"31.12.2024 16:00";"-1.0";"734.8";"752.3";"93";"Ветер, дующий с запада";"6";"11";"";"";"Рассеянная (40-50%) 360 м";"10.0 и более";"-2.0";
"31.12.2024 15:30";"-2.0";"734.8";"752.3";"93";"Ветер, дующий с запада";"5";"";"";"";"Рассеянная (40-50%) 330 м";"10.0 и более";"-3.0";
"31.12.2024 15:00";"-2.0";"734.8";"752.3";"100";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Рассеянная (40-50%) 360 м";"10.0 и более";"-2.0";
"31.12.2024 14:30";"-2.0";"734.8";"752.3";"100";"Ветер, дующий с запада";"5";"";"";"";"Незначительная (10-30%) 300 м";"10.0 и более";"-2.0";
"31.12.2024 14:00";"-1.0";"734.2";"751.6";"93";"Ветер, дующий с запада";"5";"";"Слабый(ая)(ые) снег";"Снег";"Рассеянная (40-50%) 360 м";"10.0 и более";"-2.0";
"31.12.2024 13:30";"-1.0";"734.2";"751.6";"93";"Ветер, дующий с запада";"4";"";"Слабый(ая)(ые) снег";"Снег";"Рассеянная (40-50%) 390 м";"8.0";"-2.0";
"31.12.2024 13:14";"-1.0";"734.2";"751.6";"93";"Ветер, дующий с западо-северо-запада";"4";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 150 м";"6.0";"-2.0";
"31.12.2024 13:02";"-1.0";"734.2";"751.6";"100";"Ветер, дующий с западо-северо-запада";"3";"";"Снег";"";"Разорванная (60-90%) 150 м";"3.3";"-1.0";
"31.12.2024 13:00";"-1.0";"734.2";"751.6";"100";"Ветер, дующий с северо-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 150 м";"3.3";"-1.0";
"31.12.2024 12:58";"-1.0";"734.2";"751.6";"100";"Ветер, дующий с северо-запада";"3";"";"Снег";"";"Разорванная (60-90%) 150 м";"2.9";"-1.0";
"31.12.2024 12:57";"-1.0";"734.2";"751.6";"100";"Ветер, дующий с северо-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 150 м";"3.4";"-1.0";
"31.12.2024 12:45";"-1.0";"734.2";"751.6";"100";"Ветер, дующий с западо-северо-запада";"3";"";"Снег";"";"Разорванная (60-90%) 120 м";"3.5";"-1.0";
"31.12.2024 12:43";"-1.0";"734.2";"751.6";"100";"Ветер, дующий с западо-северо-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 150 м";"3.5";"-1.0";
"31.12.2024 12:30";"-1.0";"734.2";"751.6";"100";"Ветер, дующий с запада";"3";"";"Слабый(ая)(ые) снег";"Ливень (ливни), снег";"Рассеянная (40-50%) 180 м, сплошная (100%) 930 м";"3.1";"-1.0";
"31.12.2024 12:11";"-1.0";"734.2";"751.6";"100";"Ветер, дующий с западо-северо-запада";"3";"";"Снег";"";"Сплошная (100%) 660 м";"1.8";"-1.0";
"31.12.2024 12:00";"-1.0";"734.2";"751.6";"93";"Ветер, дующий с западо-северо-запада";"3";"";"Ливень (ливни), снег";"";"Рассеянная (40-50%) 150 м, разорванная (60-90%) 810 м, кучево-дождевые облака";"1.5";"-2.0";
"31.12.2024 11:55";"-1.0";"734.2";"751.6";"93";"Ветер, дующий с западо-северо-запада";"3";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 120 м, разорванная (60-90%) 600 м, кучево-дождевые облака";"1.1";"-2.0";
"31.12.2024 11:30";"-1.0";"734.8";"752.3";"93";"Ветер, дующий с западо-северо-запада";"3";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 90 м";"0.8";"-2.0";
"31.12.2024 11:28";"-1.0";"734.8";"752.3";"93";"Ветер, дующий с западо-северо-запада";"3";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 60 м";"0.8";"-2.0";
"31.12.2024 11:23";"-1.0";"734.8";"752.3";"93";"Ветер, дующий с северо-запада";"2";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 90 м";"0.9";"-2.0";
"31.12.2024 11:17";"-1.0";"734.8";"752.3";"93";"Ветер, дующий с северо-северо-запада";"2";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 120 м";"0.8";"-2.0";
"31.12.2024 11:00";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с северо-запада";"2";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 180 м";"0.8";"-1.0";
"31.12.2024 10:57";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с западо-северо-запада";"3";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 90 м";"0.9";"-1.0";
"31.12.2024 10:51";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с запада";"3";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 90 м";"0.9";"-1.0";
"31.12.2024 10:39";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с запада";"4";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 120 м";"0.9";"-1.0";
"31.12.2024 10:38";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с запада";"4";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 120 м";"0.9";"-1.0";
"31.12.2024 10:34";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с западо-юго-запада";"4";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 120 м, разорванная (60-90%) 570 м, кучево-дождевые облака";"1.0";"-1.0";
"31.12.2024 10:30";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с западо-юго-запада";"4";"";"Сильный(ая)(ые) ливень (ливни), снег";"Снег";"Рассеянная (40-50%) 90 м, разорванная (60-90%) 570 м, кучево-дождевые облака";"1.0";"-1.0";
